0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-49.19009224,-49.18040948,-49.18102635,-49.18008781,-49.18054308,-49.18043604,-49.18060752,-49.18054181,-49.18050641,-49.18053895,-49.18053519,-49.18054408,-49.18053732,-49.18056365,-49.18055601,-49.18055609,-49.18054542,-49.18055297,-49.18055303,-49.18055319,-49.18055312,-49.18055284,-49.18055066,-49.18054542
-49.18592841,-49.18014646,-49.18026793,-49.18028458,-49.18062058,-49.18059171,-49.18058123,-49.1804969,-49.18052678,-49.18053547,-49.18053779,-49.18053039,-49.18056336,-49.18055644,-49.18055609,-49.18055601,-49.18055379,-49.18055303,-49.18055297,-49.18055284,-49.18055351,-49.1805518,-49.18055631,-49.18056373
-49.18559722,-49.18036369,-49.18028773,-49.18026535,-49.1805801,-49.18057333,-49.18060317,-49.18054027,-49.18053443,-49.18057045,-49.1805323,-49.18054121,-49.18055603,-49.18055609,-49.18055647,-49.18055193,-49.18055243,-49.18055332,-49.18055285,-49.18055299,-49.18055565,-49.18054518,-49.18056739,-49.18055752
-49.1884932,-49.18024423,-49.1803404,-49.18002373,-49.18057441,-49.18058122,-49.18034182,-49.18053271,-49.18053746,-49.18053107,-49.18050947,-49.18056223,-49.18055609,-49.18055603,-49.18055183,-49.18055244,-49.18055181,-49.18056006,-49.18055452,-49.18055972,-49.1803035,-49.18045118,-49.18054957,-49.18055705
-48.86172186,-49.18070963,-49.18052449,-49.18122118,-49.18054172,-49.18053987,-49.18052073,-49.18054642,-49.18051049,-49.18054288,-49.18055605,-49.18055478,-49.18054483,-49.1805538,-49.18055243,-49.18055164,-49.18056132,-49.18055354,-49.18055555,-49.18053873,-49.18045256,-49.18031318,-49.18056438,-49.18056627
-49.17364188,-49.18040249,-49.180606,-49.18073856,-49.18053997,-49.18054202,-49.18053107,-49.18070787,-49.18055673,-49.18055059,-49.18055486,-49.18055659,-49.18055295,-49.18055302,-49.18055332,-49.18056022,-49.18055342,-49.18055566,-49.18055796,-49.18570943,-49.18054233,-49.180569,-49.18056607,-49.18056338
-49.17630482,-49.18106474,-49.18067312,-49.1806703,-49.18052734,-49.18053314,-49.18053623,-49.18054336,-49.18054931,-49.18055249,-49.18055285,-49.18055327,-49.18055302,-49.18055293,-49.18055284,-49.18055453,-49.18055556,-49.18055784,-49.18050537,-49.18056153,-49.18056281,-49.18056633,-49.18056786,-49.18054316
-49.17631155,-49.18026701,-49.18067016,-49.1806733,-49.18053732,-49.18055889,-49.18063429,-49.18058947,-49.1806387,-49.18055283,-49.18055171,-49.18055312,-49.18055318,-49.18055284,-49.18055295,-49.18055958,-49.18053905,-49.18224524,-49.1805614,-49.18056284,-49.18056059,-49.18019491,-49.18056055,-49.18056255
-49.17309983,-49.18129358,-49.18062494,-49.18079701,-49.18054382,-49.18073345,-49.18059488,-49.18060502,-49.18059055,-49.1805533,-49.18055308,-49.18055324,-49.1805531,-49.1805535,-49.18055571,-49.1799497,-49.18045039,-49.18054269,-49.1805628,-49.18056016,-49.1804464,-49.18055499,-49.18056333,-49.18056079
-49.24077677,-49.17973954,-49.18055739,-49.18020093,-49.18054995,-49.18058555,-49.1806073,-49.18059535,-49.18063701,-49.18055289,-49.18055317,-49.18055305,-49.18055274,-49.18055166,-49.18054487,-49.18044778,-49.18004088,-49.1805688,-49.18056632,-49.18027617,-49.1805546,-49.1805638,-49.18055679,-49.18055087
-49.1858994,-49.18141847,-49.18050429,-49.18045138,-49.18055526,-49.18067545,-49.18058696,-49.18083296,-49.18056741,-49.18055373,-49.18055134,-49.18056143,-49.18055066,-49.18055579,-49.18056728,-49.1805493,-49.18056447,-49.18056608,-49.18056778,-49.18056052,-49.18056334,-49.18055655,-49.18055121,-49.18056907
