Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
1.4581 ,2.4082 ,2.6608 ,3.9450 ,0.1267 ,0.2846 ,0.8609 ,0.8524 ,-0.4241 ,2.0238 ,3.9444 ,21.6481 ,37.4338 
1.8956 ,3.5661 ,4.1881 ,4.7743 ,0.1295 ,0.2526 ,0.8028 ,0.8155 ,-0.6645 ,1.8980 ,2.8364 ,31.2034 ,17.0338 
1.5058 ,2.7581 ,2.8332 ,4.0706 ,0.1291 ,0.2177 ,0.8541 ,0.8531 ,-0.5178 ,2.0251 ,3.7481 ,25.9907 ,28.6210 
1.5165 ,2.7815 ,2.8516 ,4.0869 ,0.1317 ,0.4613 ,0.8521 ,0.8519 ,-0.5280 ,2.0146 ,3.7206 ,26.3366 ,26.8619 
1.5159 ,2.7829 ,2.8663 ,4.0892 ,0.1324 ,0.5806 ,0.8550 ,0.8584 ,-0.5195 ,2.0110 ,3.7183 ,26.2031 ,27.6850 
1.5071 ,2.7715 ,2.8157 ,4.0791 ,0.1298 ,0.2522 ,0.8593 ,0.8628 ,-0.5141 ,2.0153 ,3.7419 ,26.2965 ,27.8300 
1.8869 ,3.5535 ,4.2121 ,4.7476 ,0.1331 ,0.7137 ,0.7925 ,0.7985 ,-0.6766 ,1.8998 ,2.8337 ,30.8491 ,18.7333 
1.4534 ,2.3519 ,2.6365 ,3.9280 ,0.1299 ,0.8218 ,0.8552 ,0.8402 ,-0.4175 ,2.0229 ,3.9772 ,21.0811 ,38.1847 
1.9017 ,3.5716 ,4.2802 ,4.7751 ,0.1302 ,0.3646 ,0.7969 ,0.8043 ,-0.6688 ,1.9071 ,2.8259 ,30.8103 ,19.8548 
1.4379 ,2.3272 ,2.5082 ,3.8966 ,0.1265 ,0.2731 ,0.8547 ,0.8412 ,-0.4214 ,2.0055 ,3.9890 ,21.1643 ,36.8409 
1.5164 ,2.7852 ,2.8445 ,4.0889 ,0.1320 ,0.4560 ,0.8514 ,0.8503 ,-0.5305 ,2.0120 ,3.7165 ,26.4312 ,26.6454 
1.4984 ,2.7390 ,2.7729 ,4.0613 ,0.1291 ,0.2415 ,0.8548 ,0.8522 ,-0.5138 ,2.0236 ,3.7432 ,25.8599 ,29.2886 
1.4224 ,2.3215 ,2.4711 ,3.8705 ,0.1271 ,0.3406 ,0.8560 ,0.8416 ,-0.4188 ,2.0124 ,3.9894 ,21.1376 ,37.1673 
1.8878 ,3.5537 ,4.2064 ,4.7507 ,0.1331 ,0.7873 ,0.7917 ,0.7996 ,-0.6741 ,1.8831 ,2.8410 ,30.8084 ,19.0102 
1.8895 ,3.5579 ,4.2233 ,4.7536 ,0.1302 ,0.3699 ,0.7924 ,0.8004 ,-0.6738 ,1.8919 ,2.8372 ,30.7767 ,19.2568 
1.4231 ,2.3305 ,2.4790 ,3.8731 ,0.1266 ,0.2724 ,0.8556 ,0.8414 ,-0.4225 ,2.0150 ,3.9899 ,21.2507 ,36.9175 
1.5193 ,2.7833 ,2.8644 ,4.0899 ,0.1371 ,1.3583 ,0.8506 ,0.8538 ,-0.5286 ,1.9938 ,3.7159 ,26.2581 ,26.6019 
1.5170 ,2.7792 ,2.8406 ,4.0886 ,0.1306 ,0.2971 ,0.8508 ,0.8532 ,-0.5297 ,1.9984 ,3.7228 ,26.2565 ,26.7120 
1.8865 ,3.5634 ,4.2418 ,4.7464 ,0.1300 ,0.3526 ,0.7886 ,0.7945 ,-0.6845 ,1.9039 ,2.8293 ,30.8306 ,19.5417 
1.4624 ,2.5240 ,2.6933 ,3.9579 ,0.1278 ,0.2979 ,0.8489 ,0.8366 ,-0.4721 ,2.0333 ,3.8996 ,23.3366 ,34.1555 
1.8894 ,3.5570 ,4.2253 ,4.7526 ,0.1292 ,0.2576 ,0.7937 ,0.8007 ,-0.6734 ,1.9013 ,2.8356 ,30.7732 ,19.2695 
1.4268 ,2.3084 ,2.5049 ,3.8792 ,0.1260 ,0.2524 ,0.8561 ,0.8419 ,-0.4156 ,2.0189 ,3.9996 ,20.8646 ,38.2732 
1.5265 ,2.8395 ,2.8353 ,4.1211 ,0.1373 ,1.1776 ,0.8501 ,0.8532 ,-0.5467 ,1.9841 ,3.6685 ,27.1902 ,24.7008 
1.4746 ,2.5629 ,2.7215 ,3.9818 ,0.1282 ,0.3416 ,0.8584 ,0.8534 ,-0.4649 ,2.0224 ,3.8422 ,23.5056 ,31.9824 
1.8817 ,3.5457 ,4.1998 ,4.7369 ,0.1364 ,1.3016 ,0.7933 ,0.7998 ,-0.6723 ,1.8899 ,2.8441 ,30.7988 ,18.6536 
1.4099 ,2.2184 ,2.4515 ,3.8354 ,0.1284 ,0.8295 ,0.8547 ,0.8382 ,-0.3969 ,2.0067 ,4.0438 ,19.7266 ,40.1146 
1.4953 ,2.7132 ,2.7707 ,4.0422 ,0.1316 ,0.4456 ,0.8466 ,0.8452 ,-0.5236 ,1.9988 ,3.7637 ,25.6103 ,27.7411 
1.4975 ,2.7196 ,2.8195 ,4.0459 ,0.1283 ,0.2224 ,0.8564 ,0.8548 ,-0.5056 ,2.0346 ,3.7742 ,25.4117 ,29.0308 
1.4977 ,2.7120 ,2.8107 ,4.0483 ,0.1305 ,0.3777 ,0.8606 ,0.8608 ,-0.4969 ,2.0282 ,3.7743 ,25.3358 ,29.4961 
1.5146 ,2.7843 ,2.8114 ,4.0873 ,0.1341 ,0.7170 ,0.8483 ,0.8506 ,-0.5359 ,1.9815 ,3.7097 ,26.4679 ,26.1599 
1.5196 ,2.7910 ,2.8571 ,4.1025 ,0.1342 ,0.9406 ,0.8647 ,0.8679 ,-0.5073 ,2.0170 ,3.7149 ,26.3416 ,28.0873 
1.5393 ,2.8658 ,2.8435 ,4.1507 ,0.1344 ,0.6743 ,0.8544 ,0.8599 ,-0.5419 ,1.9849 ,3.6300 ,27.5784 ,25.0671 
1.4256 ,2.3113 ,2.5002 ,3.8780 ,0.1257 ,0.2211 ,0.8562 ,0.8419 ,-0.4164 ,2.0203 ,4.0054 ,20.9422 ,38.1695 
1.8878 ,3.5565 ,4.2248 ,4.7494 ,0.1378 ,1.5574 ,0.7924 ,0.7997 ,-0.6738 ,1.8813 ,2.8420 ,30.7634 ,19.2422 
1.4981 ,2.7170 ,2.7686 ,4.0488 ,0.1310 ,0.3843 ,0.8475 ,0.8463 ,-0.5224 ,1.9971 ,3.7565 ,25.7116 ,27.7869 
1.5102 ,2.7872 ,2.8455 ,4.0806 ,0.1334 ,0.7447 ,0.8572 ,0.8577 ,-0.5196 ,2.0281 ,3.7157 ,26.2361 ,28.0118 
1.4178 ,2.2267 ,2.4616 ,3.8531 ,0.1290 ,0.6691 ,0.8582 ,0.8428 ,-0.3916 ,1.9957 ,4.0413 ,19.8559 ,39.6846 
1.8907 ,3.5527 ,4.2175 ,4.7542 ,0.1348 ,0.9774 ,0.7956 ,0.8029 ,-0.6680 ,1.8925 ,2.8377 ,30.7670 ,19.0672 
1.4006 ,2.5827 ,2.2916 ,3.8815 ,0.1308 ,0.3162 ,0.8501 ,0.8428 ,-0.5141 ,1.9907 ,3.8854 ,25.6949 ,26.4150 
1.4993 ,2.6149 ,2.8476 ,4.0293 ,0.1321 ,0.9315 ,0.8527 ,0.8446 ,-0.4801 ,2.0161 ,3.8318 ,24.1216 ,33.3699 
1.5195 ,2.8365 ,2.9172 ,4.0991 ,0.1291 ,0.2294 ,0.8553 ,0.8597 ,-0.5360 ,2.0369 ,3.7053 ,26.6833 ,26.9480 
1.5114 ,2.7717 ,2.8235 ,4.0745 ,0.1381 ,1.5849 ,0.8521 ,0.8539 ,-0.5242 ,1.9933 ,3.7327 ,26.2384 ,26.7046 
1.9163 ,3.5888 ,4.2499 ,4.8155 ,0.1306 ,0.3345 ,0.8077 ,0.8227 ,-0.6593 ,1.8996 ,2.8187 ,31.3053 ,18.1785 
1.5118 ,2.6476 ,2.8322 ,4.0692 ,0.1284 ,0.2520 ,0.8577 ,0.8557 ,-0.4821 ,2.0214 ,3.8061 ,24.6445 ,31.7152 
1.5070 ,2.7414 ,2.8669 ,4.0545 ,0.1297 ,0.3227 ,0.8486 ,0.8448 ,-0.5200 ,2.0215 ,3.7504 ,25.8663 ,28.9357 
1.4623 ,2.6849 ,2.5436 ,4.0036 ,0.1307 ,0.2813 ,0.8566 ,0.8532 ,-0.5147 ,2.0088 ,3.7947 ,26.1897 ,27.8570 
1.5141 ,2.8178 ,2.8018 ,4.0948 ,0.1292 ,0.2172 ,0.8581 ,0.8629 ,-0.5246 ,2.0054 ,3.6866 ,26.9461 ,26.6522 
1.5291 ,2.9106 ,2.9053 ,4.1195 ,0.1300 ,0.2229 ,0.8484 ,0.8550 ,-0.5675 ,2.0093 ,3.6278 ,28.1320 ,22.8818 
1.3979 ,2.1390 ,2.3807 ,3.7973 ,0.1261 ,0.4118 ,0.8509 ,0.8318 ,-0.3835 ,1.9921 ,4.0728 ,18.8360 ,40.5068 
1.8745 ,3.5343 ,4.1663 ,4.7220 ,0.1350 ,1.0701 ,0.7917 ,0.7983 ,-0.6729 ,1.8884 ,2.8461 ,30.7218 ,18.5747 
1.4557 ,2.6156 ,2.6108 ,3.9618 ,0.1311 ,0.4009 ,0.8460 ,0.8388 ,-0.5079 ,2.0019 ,3.8156 ,24.5789 ,29.1246 
1.5058 ,2.7546 ,2.8467 ,4.0655 ,0.1321 ,0.4712 ,0.8545 ,0.8514 ,-0.5143 ,2.0250 ,3.7389 ,25.7672 ,28.3335 
1.8678 ,3.5461 ,4.1919 ,4.7100 ,0.1370 ,1.4615 ,0.7873 ,0.7940 ,-0.6848 ,1.8869 ,2.8453 ,30.7139 ,18.8488 
1.4634 ,2.4885 ,2.6758 ,3.9541 ,0.1256 ,0.1819 ,0.8443 ,0.8314 ,-0.4694 ,2.0166 ,3.9203 ,22.8590 ,34.1408 
1.4295 ,2.3532 ,2.5073 ,3.8887 ,0.1263 ,0.2704 ,0.8471 ,0.8326 ,-0.4388 ,2.0045 ,3.9757 ,21.4199 ,36.6316 
1.8861 ,3.5548 ,4.2162 ,4.7460 ,0.1286 ,0.2278 ,0.7915 ,0.7987 ,-0.6783 ,1.8995 ,2.8338 ,30.7488 ,19.4880 
