,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-7.948538222,-7.949855463878623,-7.949125585735305,-7.94897639011183,-7.949228457247308,-7.949047300658932,-7.949098757885939,-7.9491942424350555,-7.949630906528388,-7.949269382663093,-7.949105656242651,-7.94933978869001,-7.949256706330678,-7.949276134845705,-7.949276642801379,-7.949250744478644,-7.949253784681707,-7.94927997297043,-7.949260749977812,-7.949255718217691
11,-7.948866445,-7.950030449784576,-7.948928802986301,-7.949063098434494,-7.949339840697446,-7.949446665771186,-7.949155615141444,-7.948909388128898,-7.949327394138775,-7.949053037177818,-7.949196159140365,-7.949276127539596,-7.949272586752286,-7.949293447922621,-7.949275494469473,-7.949253423638283,-7.949249874728256,-7.949264196807398,-7.9492423266423735,-7.949257394173016
12,-7.949088724999999,-7.949592257540154,-7.949240502123625,-7.949229850757176,-7.949341672880005,-7.949310151731571,-7.9492423603826765,-7.9492804369065135,-7.949331685206439,-7.949261071543476,-7.9492541195293684,-7.949273533149878,-7.949274644774921,-7.9492746676474155,-7.949264721361815,-7.949260900705522,-7.949259716967186,-7.949259882463091,-7.949259248918561,-7.949256997995121
13,-7.949230683999999,-7.9494713137584725,-7.949229090428273,-7.949239090790339,-7.949364224404606,-7.945200169110513,-7.949259268267534,-7.9493439168866,-7.949289956904253,-7.949252067254179,-7.949258531408539,-7.949271154792959,-7.949275372570435,-7.949283548221245,-7.949260243554342,-7.949258633825715,-7.949259859657378,-7.949259755647311,-7.9492600814240415,-7.9492556905667335
14,-7.949314548,-7.94941327181358,-7.949291973531689,-7.949291548493213,-7.949303062476907,-7.94928314307463,-7.949274398500186,-7.9492761406063135,-7.949273928264549,-7.949266530467955,-7.9492667749219965,-7.949265855886946,-7.949261860577933,-7.949264079051702,-7.949258989999523,-7.949259637826276,-7.949259566180554,-7.9492599643042094,-7.949259604030888,-7.949257030259669
15,-7.949356281000001,-7.949374967330847,-7.949291543748208,-7.949291953742724,-7.949296503720247,-7.949265177695317,-7.949275713972276,-7.9492751704308695,-7.949277653309153,-7.94926676294765,-7.949266577307845,-7.94926714207011,-7.9492634686243475,-7.949262660123782,-7.949260052834185,-7.949259568900942,-7.9492596427345,-7.949257940719105,-7.949263716955742,-7.949252104703191
16,-7.949368821,-7.949364382210933,-7.949299795198264,-7.949295957336849,-7.949294095561469,-7.949279197277327,-7.949274857406599,-7.949275998161797,-7.949273250745228,-7.949265740242094,-7.94926705459752,-7.9492663503760586,-7.949260465802621,-7.949270019495341,-7.949258683721022,-7.949260474016345,-7.949258710743967,-7.949261570305575,-7.949264453208634,-7.9492782612042365
17,-7.949361806000002,-7.94937366901408,-7.94929151147583,-7.949165142341503,-7.949311746834569,-7.949267647977871,-7.949250699878619,-7.949291813687867,-7.94930238836374,-7.949250652076488,-7.949253848920857,-7.949257658369303,-7.949219310757528,-7.9492492206043694,-7.949210275419398,-7.9492924172775,-7.949248170626233,-7.94924449381318,-7.949269453369937,-7.949252906933522
18,-7.9493426949999995,-7.949383753193108,-7.94928313016896,-7.949305598846258,-7.9493436160842155,-7.949259617889676,-7.949270717248863,-7.9492668966245645,-7.949253811193019,-7.94925438794021,-7.949251159227513,-7.949233038049433,-7.949270786149605,-7.949241408682135,-7.949263325033207,-7.949261591556433,-7.949245352295046,-7.949248777557457,-7.949309081521158,-7.949253714416467
19,-7.949316978000001,-7.949246870961231,-7.949265403472744,-7.94928868675173,-7.949342431167252,-7.949249083426595,-7.949275213238739,-7.9492794577783155,-7.949239266284515,-7.949182851972077,-7.949230736445635,-7.949193687995739,-7.94920223903444,-7.949190676906415,-7.949210250324816,-7.949223226034654,-7.949222833928552,-7.949178443644656,-7.94924087587235,-7.949213017716234
